d15/debugstate/kwl/fan1 Fan1 - M: 36075940, gap: -8, tsf: 645, ssf: 1230, rpm: 1222
d15/debugstate/kwl/fan2 Fan2 - M: 82075940, gap: -1, tsf: 2, ssf: 952, rpm: 951
d15/debugstate/kwl/fan1 Fan1 - M: 83075940, gap: -53, tsf: 447, ssf: 861, rpm: 808
d15/debugstate/kwl/fan2 Fan2 - M: 83075940, gap: -1, tsf: 3, ssf: 952, rpm: 951
d15/debugstate/kwl/fan1 Fan1 - M: 84075940, gap: -48, tsf: 447, ssf: 861, rpm: 813
d15/debugstate/kwl/fan2 Fan2 - M: 84075940, gap: -1, tsf: 3, ssf: 952, rpm: 951
d15/debugstate/kwl/fan1 Fan1 - M: 85075940, gap: -40, tsf: 449, ssf: 861, rpm: 821
d15/debugstate/kwl/fan2 Fan2 - M: 85075940, gap: 0, tsf: 2, ssf: 952, rpm: 952
d15/debugstate/kwl/fan1 Fan1 - M: 87075940, gap: -39, tsf: 449, ssf: 861, rpm: 822
d15/debugstate/kwl/fan2 Fan2 - M: 87075940, gap: 0, tsf: 2, ssf: 952, rpm: 952
d15/debugstate/kwl/fan1 Fan1 - M: 88075940, gap: -37, tsf: 453, ssf: 861, rpm: 824
d15/debugstate/kwl/fan2 Fan2 - M: 88075940, gap: 0, tsf: 2, ssf: 952, rpm: 952
d15/debugstate/kwl/fan1 Fan1 - M: 89075940, gap: -31, tsf: 455, ssf: 861, rpm: 830
d15/debugstate/kwl/fan2 Fan2 - M: 89075940, gap: 2, tsf: 2, ssf: 952, rpm: 954
d15/debugstate/kwl/fan1 Fan1 - M: 90075940, gap: -23, tsf: 457, ssf: 861, rpm: 838
d15/debugstate/kwl/fan2 Fan2 - M: 90075940, gap: 0, tsf: 2, ssf: 952, rpm: 952
d15/debugstate/kwl/fan1 Fan1 - M: 92075940, gap: -22, tsf: 457, ssf: 861, rpm: 839
d15/debugstate/kwl/fan2 Fan2 - M: 92075940, gap: 0, tsf: 2, ssf: 952, rpm: 952
d15/debugstate/kwl/fan1 Fan1 - M: 93075940, gap: -20, tsf: 458, ssf: 861, rpm: 841
d15/debugstate/kwl/fan2 Fan2 - M: 93075940, gap: 0, tsf: 2, ssf: 952, rpm: 952
d15/debugstate/kwl/fan1 Fan1 - M: 94075940, gap: -18, tsf: 460, ssf: 861, rpm: 843
d15/debugstate/kwl/fan2 Fan2 - M: 94075940, gap: 1, tsf: 2, ssf: 952, rpm: 953
d15/debugstate/kwl/fan1 Fan1 - M: 95075940, gap: -14, tsf: 461, ssf: 861, rpm: 847
d15/debugstate/kwl/fan2 Fan2 - M: 95075940, gap: 2, tsf: 2, ssf: 952, rpm: 954
d15/debugstate/kwl/fan1 Fan1 - M: 97075940, gap: -12, tsf: 461, ssf: 861, rpm: 849
d15/debugstate/kwl/fan2 Fan2 - M: 97075940, gap: 2, tsf: 2, ssf: 952, rpm: 954
d15/debugstate/kwl/fan1 Fan1 - M: 98075940, gap: -11, tsf: 462, ssf: 861, rpm: 850
d15/debugstate/kwl/fan2 Fan2 - M: 98075940, gap: 1, tsf: 2, ssf: 952, rpm: 953
d15/debugstate/kwl/fan1 Fan1 - M: 99075940, gap: -9, tsf: 463, ssf: 861, rpm: 852
d15/debugstate/kwl/fan2 Fan2 - M: 99075940, gap: 3, tsf: 1, ssf: 952, rpm: 955
d15/debugstate/kwl/fan1 Fan1 - M: 100075940, gap: -11, tsf: 464, ssf: 861, rpm: 850
d15/debugstate/kwl/fan2 Fan2 - M: 100075940, gap: 1, tsf: 2, ssf: 952, rpm: 953
d15/debugstate/kwl/fan1 Fan1 - M: 102075940, gap: -10, tsf: 464, ssf: 861, rpm: 851
d15/debugstate/kwl/fan2 Fan2 - M: 102075940, gap: 2, tsf: 2, ssf: 952, rpm: 954
d15/debugstate/kwl/fan1 Fan1 - M: 103075940, gap: -7, tsf: 464, ssf: 861, rpm: 854
d15/debugstate/kwl/fan2 Fan2 - M: 103075940, gap: 2, tsf: 1, ssf: 952, rpm: 954
d15/debugstate/kwl/fan1 Fan1 - M: 104075940, gap: -4, tsf: 464, ssf: 861, rpm: 857
d15/debugstate/kwl/fan2 Fan2 - M: 104075940, gap: 2, tsf: 1, ssf: 952, rpm: 954
d15/debugstate/kwl/fan1 Fan1 - M: 105075940, gap: -3, tsf: 464, ssf: 861, rpm: 858
d15/debugstate/kwl/fan2 Fan2 - M: 105075940, gap: 2, tsf: 1, ssf: 952, rpm: 954
d15/debugstate/kwl/fan1 Fan1 - M: 107075940, gap: -2, tsf: 464, ssf: 861, rpm: 859
d15/debugstate/kwl/fan2 Fan2 - M: 107075940, gap: 1, tsf: 1, ssf: 952, rpm: 953
d15/debugstate/kwl/fan1 Fan1 - M: 108075940, gap: 0, tsf: 464, ssf: 861, rpm: 861
d15/debugstate/kwl/fan2 Fan2 - M: 108075940, gap: 2, tsf: 1, ssf: 952, rpm: 954
d15/debugstate/kwl/fan1 Fan1 - M: 109075940, gap: 1, tsf: 464, ssf: 861, rpm: 862
d15/debugstate/kwl/fan2 Fan2 - M: 109075940, gap: 3, tsf: 1, ssf: 952, rpm: 955
d15/debugstate/kwl/fan1 Fan1 - M: 110075940, gap: 0, tsf: 464, ssf: 861, rpm: 861
d15/debugstate/kwl/fan2 Fan2 - M: 110075940, gap: 1, tsf: 1, ssf: 952, rpm: 953
d15/debugstate/kwl/fan1 Fan1 - M: 112075940, gap: 0, tsf: 464, ssf: 861, rpm: 861
d15/debugstate/kwl/fan2 Fan2 - M: 112075940, gap: 2, tsf: 1, ssf: 952, rpm: 954
d15/debugstate/kwl/fan1 Fan1 - M: 113075940, gap: 0, tsf: 464, ssf: 861, rpm: 861
d15/debugstate/kwl/fan2 Fan2 - M: 113075940, gap: 1, tsf: 1, ssf: 952, rpm: 953
d15/debugstate/kwl/fan1 Fan1 - M: 114075940, gap: -1, tsf: 464, ssf: 861, rpm: 860
d15/debugstate/kwl/fan2 Fan2 - M: 114075940, gap: 1, tsf: 1, ssf: 952, rpm: 953
d15/debugstate/kwl/fan1 Fan1 - M: 115075940, gap: -1, tsf: 464, ssf: 861, rpm: 860
d15/debugstate/kwl/fan2 Fan2 - M: 115075940, gap: 1, tsf: 1, ssf: 952, rpm: 953
d15/debugstate/kwl/fan1 Fan1 - M: 117075940, gap: -1, tsf: 464, ssf: 861, rpm: 860
d15/debugstate/kwl/fan2 Fan2 - M: 117075940, gap: 1, tsf: 1, ssf: 952, rpm: 953
d15/debugstate/kwl/fan1 Fan1 - M: 118075940, gap: -1, tsf: 464, ssf: 861, rpm: 860
d15/debugstate/kwl/fan2 Fan2 - M: 118075940, gap: 0, tsf: 1, ssf: 952, rpm: 952
d15/debugstate/kwl/fan1 Fan1 - M: 119075940, gap: 1, tsf: 464, ssf: 861, rpm: 862
d15/debugstate/kwl/fan2 Fan2 - M: 119075940, gap: 2, tsf: 1, ssf: 952, rpm: 954
d15/debugstate/kwl/fan1 Fan1 - M: 120075940, gap: 0, tsf: 464, ssf: 861, rpm: 861
d15/debugstate/kwl/fan2 Fan2 - M: 120075940, gap: 0, tsf: 1, ssf: 952, rpm: 952
d15/debugstate/kwl/fan1 Fan1 - M: 122075940, gap: 0, tsf: 464, ssf: 861, rpm: 861
d15/debugstate/kwl/fan2 Fan2 - M: 122075940, gap: 0, tsf: 1, ssf: 952, rpm: 952
d15/debugstate/kwl/fan1 Fan1 - M: 123075940, gap: 1, tsf: 464, ssf: 861, rpm: 862
d15/debugstate/kwl/fan2 Fan2 - M: 123075940, gap: 0, tsf: 1, ssf: 952, rpm: 952
d15/debugstate/kwl/fan1 Fan1 - M: 124075940, gap: 1, tsf: 464, ssf: 861, rpm: 862
d15/debugstate/kwl/fan2 Fan2 - M: 124075940, gap: 0, tsf: 1, ssf: 952, rpm: 952
d15/debugstate/kwl/fan1 Fan1 - M: 125075940, gap: 2, tsf: 464, ssf: 861, rpm: 863
d15/debugstate/kwl/fan2 Fan2 - M: 125075940, gap: 0, tsf: 1, ssf: 952, rpm: 952
d15/debugstate/kwl/fan1 Fan1 - M: 127075940, gap: 1, tsf: 464, ssf: 861, rpm: 862
d15/debugstate/kwl/fan2 Fan2 - M: 127075940, gap: 0, tsf: 1, ssf: 952, rpm: 952
d15/debugstate/kwl/fan1 Fan1 - M: 128075940, gap: 2, tsf: 463, ssf: 861, rpm: 863
d15/debugstate/kwl/fan2 Fan2 - M: 128075940, gap: 1, tsf: 1, ssf: 952, rpm: 953
d15/debugstate/kwl/fan1 Fan1 - M: 129075940, gap: 4, tsf: 463, ssf: 861, rpm: 865
d15/debugstate/kwl/fan2 Fan2 - M: 129075940, gap: 2, tsf: 1, ssf: 952, rpm: 954
d15/debugstate/kwl/fan1 Fan1 - M: 130075940, gap: -5, tsf: 464, ssf: 861, rpm: 856
d15/debugstate/kwl/fan2 Fan2 - M: 130075940, gap: 1, tsf: 1, ssf: 952, rpm: 953
d15/debugstate/kwl/fan1 Fan1 - M: 132075940, gap: -6, tsf: 464, ssf: 861, rpm: 855
d15/debugstate/kwl/fan2 Fan2 - M: 132075940, gap: 1, tsf: 1, ssf: 952, rpm: 953
d15/debugstate/kwl/fan1 Fan1 - M: 133075940, gap: -6, tsf: 464, ssf: 861, rpm: 855
d15/debugstate/kwl/fan2 Fan2 - M: 133075940, gap: 1, tsf: 1, ssf: 952, rpm: 953
d15/debugstate/kwl/fan1 Fan1 - M: 134075940, gap: -373, tsf: 501, ssf: 1230, rpm: 857
d15/debugstate/kwl/fan2 Fan2 - M: 134075940, gap: -407, tsf: 41, ssf: 1360, rpm: 953
d15/debugstate/kwl/fan1 Fan1 - M: 135075940, gap: -324, tsf: 529, ssf: 1230, rpm: 906
d15/debugstate/kwl/fan2 Fan2 - M: 135075940, gap: -308, tsf: 62, ssf: 1360, rpm: 1052
d15/debugstate/kwl/fan1 Fan1 - M: 137075940, gap: -306, tsf: 529, ssf: 1230, rpm: 924
d15/debugstate/kwl/fan2 Fan2 - M: 137075940, gap: -291, tsf: 62, ssf: 1360, rpm: 1069
d15/debugstate/kwl/fan1 Fan1 - M: 138075940, gap: -280, tsf: 552, ssf: 1230, rpm: 950
d15/debugstate/kwl/fan2 Fan2 - M: 138075940, gap: -269, tsf: 85, ssf: 1360, rpm: 1091
d15/debugstate/kwl/fan1 Fan1 - M: 139075940, gap: -246, tsf: 574, ssf: 1230, rpm: 984
d15/debugstate/kwl/fan2 Fan2 - M: 139075940, gap: -244, tsf: 107, ssf: 1360, rpm: 1116
d15/debugstate/kwl/fan1 Fan1 - M: 140075940, gap: -174, tsf: 584, ssf: 1230, rpm: 1056
d15/debugstate/kwl/fan2 Fan2 - M: 140075940, gap: -179, tsf: 119, ssf: 1360, rpm: 1181
d15/debugstate/kwl/fan1 Fan1 - M: 142075940, gap: -165, tsf: 584, ssf: 1230, rpm: 1065
d15/debugstate/kwl/fan2 Fan2 - M: 142075940, gap: -171, tsf: 119, ssf: 1360, rpm: 1189
d15/debugstate/kwl/fan1 Fan1 - M: 143075940, gap: -150, tsf: 596, ssf: 1230, rpm: 1080
d15/debugstate/kwl/fan2 Fan2 - M: 143075940, gap: -158, tsf: 132, ssf: 1360, rpm: 1202
d15/debugstate/kwl/fan1 Fan1 - M: 144075940, gap: -136, tsf: 596, ssf: 1230, rpm: 1094
d15/debugstate/kwl/fan2 Fan2 - M: 144075940, gap: -143, tsf: 132, ssf: 1360, rpm: 1217
d15/debugstate/kwl/fan1 Fan1 - M: 145075940, gap: -113, tsf: 604, ssf: 1230, rpm: 1117
d15/debugstate/kwl/fan2 Fan2 - M: 145075940, gap: -121, tsf: 141, ssf: 1360, rpm: 1239
d15/debugstate/kwl/fan1 Fan1 - M: 147075940, gap: -109, tsf: 604, ssf: 1230, rpm: 1121
d15/debugstate/kwl/fan2 Fan2 - M: 147075940, gap: -117, tsf: 141, ssf: 1360, rpm: 1243
d15/debugstate/kwl/fan1 Fan1 - M: 148075940, gap: -100, tsf: 613, ssf: 1230, rpm: 1130
d15/debugstate/kwl/fan2 Fan2 - M: 148075940, gap: -106, tsf: 150, ssf: 1360, rpm: 1254
d15/debugstate/kwl/fan1 Fan1 - M: 149075940, gap: -88, tsf: 620, ssf: 1230, rpm: 1142
d15/debugstate/kwl/fan2 Fan2 - M: 149075940, gap: -93, tsf: 158, ssf: 1360, rpm: 1267
d15/debugstate/kwl/fan1 Fan1 - M: 150075940, gap: -64, tsf: 624, ssf: 1230, rpm: 1166
d15/debugstate/kwl/fan2 Fan2 - M: 150075940, gap: -71, tsf: 163, ssf: 1360, rpm: 1289
d15/debugstate/kwl/fan1 Fan1 - M: 152075940, gap: -61, tsf: 624, ssf: 1230, rpm: 1169
d15/debugstate/kwl/fan2 Fan2 - M: 152075940, gap: -68, tsf: 163, ssf: 1360, rpm: 1292
d15/debugstate/kwl/fan1 Fan1 - M: 153075940, gap: -55, tsf: 629, ssf: 1230, rpm: 1175
d15/debugstate/kwl/fan2 Fan2 - M: 153075940, gap: -64, tsf: 168, ssf: 1360, rpm: 1296
d15/debugstate/kwl/fan1 Fan1 - M: 154075940, gap: -48, tsf: 633, ssf: 1230, rpm: 1182
d15/debugstate/kwl/fan2 Fan2 - M: 154075940, gap: -57, tsf: 168, ssf: 1360, rpm: 1303
d15/debugstate/kwl/fan1 Fan1 - M: 155075940, gap: -34, tsf: 635, ssf: 1230, rpm: 1196
d15/debugstate/kwl/fan2 Fan2 - M: 155075940, gap: -47, tsf: 171, ssf: 1360, rpm: 1313
d15/debugstate/kwl/fan1 Fan1 - M: 157075940, gap: -31, tsf: 635, ssf: 1230, rpm: 1199
d15/debugstate/kwl/fan2 Fan2 - M: 157075940, gap: -46, tsf: 171, ssf: 1360, rpm: 1314
d15/debugstate/kwl/fan1 Fan1 - M: 158075940, gap: -30, tsf: 638, ssf: 1230, rpm: 1200
d15/debugstate/kwl/fan2 Fan2 - M: 158075940, gap: -45, tsf: 176, ssf: 1360, rpm: 1315
d15/debugstate/kwl/fan1 Fan1 - M: 159075940, gap: -27, tsf: 640, ssf: 1230, rpm: 1203
d15/debugstate/kwl/fan2 Fan2 - M: 159075940, gap: -39, tsf: 179, ssf: 1360, rpm: 1321
d15/debugstate/kwl/fan1 Fan1 - M: 160075940, gap: -18, tsf: 641, ssf: 1230, rpm: 1212
d15/debugstate/kwl/fan2 Fan2 - M: 160075940, gap: -33, tsf: 182, ssf: 1360, rpm: 1327
d15/debugstate/kwl/fan1 Fan1 - M: 162075940, gap: -17, tsf: 641, ssf: 1230, rpm: 1213
d15/debugstate/kwl/fan2 Fan2 - M: 162075940, gap: -32, tsf: 182, ssf: 1360, rpm: 1328
d15/debugstate/kwl/fan1 Fan1 - M: 163075940, gap: -16, tsf: 642, ssf: 1230, rpm: 1214
d15/debugstate/kwl/fan2 Fan2 - M: 163075940, gap: -27, tsf: 184, ssf: 1360, rpm: 1333
d15/debugstate/kwl/fan1 Fan1 - M: 164075940, gap: -15, tsf: 642, ssf: 1230, rpm: 1215
d15/debugstate/kwl/fan2 Fan2 - M: 164075940, gap: -21, tsf: 184, ssf: 1360, rpm: 1339
d15/debugstate/kwl/fan1 Fan1 - M: 165075940, gap: -13, tsf: 643, ssf: 1230, rpm: 1217
d15/debugstate/kwl/fan2 Fan2 - M: 165075940, gap: -16, tsf: 184, ssf: 1360, rpm: 1344
d15/debugstate/kwl/fan1 Fan1 - M: 167075940, gap: -14, tsf: 643, ssf: 1230, rpm: 1216
d15/debugstate/kwl/fan2 Fan2 - M: 167075940, gap: -15, tsf: 184, ssf: 1360, rpm: 1345
d15/debugstate/kwl/fan1 Fan1 - M: 168075940, gap: -14, tsf: 645, ssf: 1230, rpm: 1216
d15/debugstate/kwl/fan2 Fan2 - M: 168075940, gap: -15, tsf: 186, ssf: 1360, rpm: 1345
d15/debugstate/kwl/fan1 Fan1 - M: 169075940, gap: -10, tsf: 645, ssf: 1230, rpm: 1220
d15/debugstate/kwl/fan2 Fan2 - M: 169075940, gap: -13, tsf: 187, ssf: 1360, rpm: 1347
d15/debugstate/kwl/fan1 Fan1 - M: 170075940, gap: -11, tsf: 647, ssf: 1230, rpm: 1219
d15/debugstate/kwl/fan2 Fan2 - M: 170075940, gap: -16, tsf: 189, ssf: 1360, rpm: 1344
d15/debugstate/kwl/fan1 Fan1 - M: 172075940, gap: -12, tsf: 647, ssf: 1230, rpm: 1218
d15/debugstate/kwl/fan2 Fan2 - M: 172075940, gap: -14, tsf: 189, ssf: 1360, rpm: 1346
d15/debugstate/kwl/fan1 Fan1 - M: 173075940, gap: -13, tsf: 648, ssf: 1230, rpm: 1217
d15/debugstate/kwl/fan2 Fan2 - M: 173075940, gap: -11, tsf: 189, ssf: 1360, rpm: 1349
d15/debugstate/kwl/fan1 Fan1 - M: 174075940, gap: -11, tsf: 648, ssf: 1230, rpm: 1219
d15/debugstate/kwl/fan2 Fan2 - M: 174075940, gap: -9, tsf: 189, ssf: 1360, rpm: 1351
d15/debugstate/kwl/fan1 Fan1 - M: 175075940, gap: -5, tsf: 648, ssf: 1230, rpm: 1225
d15/debugstate/kwl/fan2 Fan2 - M: 175075940, gap: -7, tsf: 190, ssf: 1360, rpm: 1353
d15/debugstate/kwl/fan1 Fan1 - M: 177075940, gap: -4, tsf: 648, ssf: 1230, rpm: 1226
d15/debugstate/kwl/fan2 Fan2 - M: 177075940, gap: -7, tsf: 190, ssf: 1360, rpm: 1353
d15/debugstate/kwl/fan1 Fan1 - M: 178075940, gap: -3, tsf: 648, ssf: 1230, rpm: 1227
d15/debugstate/kwl/fan2 Fan2 - M: 178075940, gap: -7, tsf: 190, ssf: 1360, rpm: 1353
d15/debugstate/kwl/fan1 Fan1 - M: 179075940, gap: 0, tsf: 648, ssf: 1230, rpm: 1230
d15/debugstate/kwl/fan2 Fan2 - M: 179075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 180075940, gap: -2, tsf: 648, ssf: 1230, rpm: 1228
d15/debugstate/kwl/fan2 Fan2 - M: 180075940, gap: -8, tsf: 192, ssf: 1360, rpm: 1352
d15/debugstate/kwl/fan1 Fan1 - M: 182075940, gap: -3, tsf: 648, ssf: 1230, rpm: 1227
d15/debugstate/kwl/fan2 Fan2 - M: 182075940, gap: -7, tsf: 192, ssf: 1360, rpm: 1353
d15/debugstate/kwl/fan1 Fan1 - M: 183075940, gap: -3, tsf: 649, ssf: 1230, rpm: 1227
d15/debugstate/kwl/fan2 Fan2 - M: 183075940, gap: -4, tsf: 192, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 184075940, gap: -3, tsf: 649, ssf: 1230, rpm: 1227
d15/debugstate/kwl/fan2 Fan2 - M: 184075940, gap: -2, tsf: 192, ssf: 1360, rpm: 1358
d15/debugstate/kwl/fan1 Fan1 - M: 185075940, gap: -5, tsf: 650, ssf: 1230, rpm: 1225
d15/debugstate/kwl/fan2 Fan2 - M: 185075940, gap: 0, tsf: 191, ssf: 1360, rpm: 1360
d15/debugstate/kwl/fan1 Fan1 - M: 187075940, gap: -5, tsf: 650, ssf: 1230, rpm: 1225
d15/debugstate/kwl/fan2 Fan2 - M: 187075940, gap: -1, tsf: 191, ssf: 1360, rpm: 1359
d15/debugstate/kwl/fan1 Fan1 - M: 188075940, gap: -5, tsf: 650, ssf: 1230, rpm: 1225
d15/debugstate/kwl/fan2 Fan2 - M: 188075940, gap: -4, tsf: 192, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 189075940, gap: -2, tsf: 650, ssf: 1230, rpm: 1228
d15/debugstate/kwl/fan2 Fan2 - M: 189075940, gap: 0, tsf: 192, ssf: 1360, rpm: 1360
d15/debugstate/kwl/fan1 Fan1 - M: 190075940, gap: -6, tsf: 651, ssf: 1230, rpm: 1224
d15/debugstate/kwl/fan2 Fan2 - M: 190075940, gap: 0, tsf: 192, ssf: 1360, rpm: 1360
d15/debugstate/kwl/fan1 Fan1 - M: 192075940, gap: -5, tsf: 651, ssf: 1230, rpm: 1225
d15/debugstate/kwl/fan2 Fan2 - M: 192075940, gap: 0, tsf: 192, ssf: 1360, rpm: 1360
d15/debugstate/kwl/fan1 Fan1 - M: 193075940, gap: -4, tsf: 651, ssf: 1230, rpm: 1226
d15/debugstate/kwl/fan2 Fan2 - M: 193075940, gap: 0, tsf: 192, ssf: 1360, rpm: 1360
d15/debugstate/kwl/fan1 Fan1 - M: 194075940, gap: -5, tsf: 651, ssf: 1230, rpm: 1225
d15/debugstate/kwl/fan2 Fan2 - M: 194075940, gap: 0, tsf: 192, ssf: 1360, rpm: 1360
d15/debugstate/kwl/fan1 Fan1 - M: 195075940, gap: -3, tsf: 651, ssf: 1230, rpm: 1227
d15/debugstate/kwl/fan2 Fan2 - M: 195075940, gap: 0, tsf: 192, ssf: 1360, rpm: 1360
